iata	size	name	country_code	city	lat	lon	pop	heuristic
AGF	medium_airport	Agen-La Garenne Airport	FR	Agen/La Garenne	44.1747016907	0.5905560255	34367	3
AGH	medium_airport	Ängelholm-Helsingborg Airport	SE	Ängelholm	56.2961006165	12.8471002579	23240	0
AGP	large_airport	Málaga Airport	ES	Málaga	36.6749000549	-4.4991102219	568305	0
AGS	large_airport	Augusta Regional At Bush Field	US	Augusta	33.3698997498	-81.9645004272	43459	0
AGT	medium_airport	Guarani International Airport	PY	Ciudad del Este	-25.4599990845	-54.8400001526	320782	0
AGU	medium_airport	Jesus Teran International Airport	MX	Aguascalientes	21.7056007385	-102.318000793	658179	0
AGV	medium_airport	Oswaldo Guevara Mujica Airport	VE	Acarigua	9.5533752441	-69.2378692627	143704	0
AHB	medium_airport	Abha Regional Airport	SA	Abha	18.2404003143	42.6566009521	210886	0
AHN	medium_airport	Athens Ben Epps Airport	US	Athens	33.948600769	-83.3263015747	116714	0
AHO	medium_airport	Alghero / Fertilia Airport	IT	Alghero	40.6320991516	8.290769577	34261	0
AHU	medium_airport	Cherif Al Idrissi Airport	MA	Al Hoceima	35.1771011353	-3.8395199776	395644	0
AJA	medium_airport	Ajaccio-Napoléon Bonaparte Airport	FR	Ajaccio/Napoléon Bonaparte	41.9235992432	8.8029203415	54364	3
AJL	medium_airport	Lengpui Airport	IN	Aizawl	23.8405990601	92.6196975708	265331	0
AJN	medium_airport	Ouani Airport	KM	Ouani	-12.1316995621	44.4303016663	10179	0
AJR	medium_airport	Arvidsjaur Airport	SE	Arvidsjaur	65.5903015137	19.2819004059	4644	0
AJU	medium_airport	Santa Maria Airport	BR	Aracaju	-10.984000206	-37.0703010559	490175	0
AJY	medium_airport	Mano Dayak International Airport	NE	Agadez	16.9659996033	8.0001096725	124324	0
AKC	medium_airport	Akron Fulton International Airport	US	Akron	41.0374984741	-81.4669036865	199110	0
AKL	large_airport	Auckland International Airport	NZ	Auckland	-37.0080986023	174.792007446	417910	0
AKR	medium_airport	Akure Airport	NG	Akure	7.2467398643	5.3010101318	420594	0
AKU	medium_airport	Aksu Airport	CN	Aksu	41.2625007629	80.2917022705	340020	0
AKW	medium_airport	Aghajari Airport	IR	Aghajari	30.7444000244	49.6772003174	21785	0
AKY	medium_airport	Sittwe Airport	MM	Sittwe	20.1326999664	92.8725967407	177743	0
ALA	large_airport	Almaty Airport	KZ	Almaty	43.3521003723	77.0404968262	2000900	0
ALB	medium_airport	Albany International Airport	US	Albany	42.748298645	-73.8016967773	97856	0
ALC	large_airport	Alicante International Airport	ES	Alicante	38.2821998596	-0.5581560135	334757	0
ALF	medium_airport	Alta Airport	NO	Alta	69.9760971069	23.3717002869	12077	0
ALG	large_airport	Houari Boumediene Airport	DZ	Algiers	36.6910018921	3.2154099941	1977663	0
ALH	medium_airport	Albany Airport	AU	Albany	-34.9432983398	117.8089981079	33650	0
ALI	medium_airport	Alice International Airport	US	Alice	27.7409000397	-98.0269012451	19104	0
ALL	medium_airport	Villanova D'Albenga International Airport	IT	Albenga	44.0505981445	8.1274299622	17103	0
ALM	medium_airport	Alamogordo White Sands Regional Airport	US	Alamogordo	32.8399009705	-105.9909973145	30403	0
ALN	medium_airport	St Louis Regional Airport	US	Alton/St Louis	38.8903007507	-90.0459976196	27865	3
ALO	medium_airport	Waterloo Regional Airport	US	Waterloo	42.5570983887	-92.4002990723	68406	0
ALP	large_airport	Aleppo International Airport	SY	Aleppo	36.1806983948	37.2243995667	1602264	0
ALS	medium_airport	San Luis Valley Regional Bergman Field	US	Alamosa	37.4348983765	-105.866996765	8780	0
ALW	medium_airport	Walla Walla Regional Airport	US	Walla Walla	46.09489822	-118.288002	31731	0
AMA	large_airport	Rick Husband Amarillo International Airport	US	Amarillo	35.2193984985	-101.7060012817	190695	0
AMD	medium_airport	Sardar Vallabhbhai Patel International Airport	IN	Ahmedabad	23.0771999359	72.6346969604	3719710	0
AMM	large_airport	Queen Alia International Airport	JO	Amman	31.7226009369	35.9931983948	1275857	0
AMQ	medium_airport	Pattimura Airport Ambon	ID	Ambon	-3.7102599144	128.0890045166	355596	0
ANB	medium_airport	Anniston Metropolitan Airport	US	Anniston	33.58819962	-85.85810089	23106	0
ANC	large_airport	Ted Stevens Anchorage International Airport	US	Anchorage	61.1744003296	-149.9960021973	291826	0
AND	medium_airport	Anderson Regional Airport	US	Anderson	34.4945983887	-82.7093963623	26686	0
ANE	medium_airport	Angers-Loire Airport	FR	Angers/Marcé	47.5602989197	-0.3122220039	168279	3
ANF	medium_airport	Cerro Moreno Airport	CL	Antofagasta	-23.4444999695	-70.445098877	309832	0
ANG	medium_airport	Angoulême-Brie-Champniers Airport	FR	Angoulême/Brie/Champniers	45.7291984558	0.2214560062	4997	3
ANR	medium_airport	Antwerp International Airport (Deurne)	BE	Antwerp	51.1893997192	4.4602799416	459805	2
ANX	medium_airport	Andøya Airport	NO	Andenes	69.2925033569	16.1441993713	2766	0
AOC	medium_airport	Altenburg-Nobitz Airport	DE	Altenburg	50.9819450378	12.5063886642	38568	0
AOE	medium_airport	Anadolu University Airport	TR	Eskişehir	39.8098983765	30.5193996429	514869	0
AOG	medium_airport	Anshan Air Base	CN	Anshan	41.1053009033	122.8539962769	1199275	0
AOI	medium_airport	Ancona / Falconara Airport	IT	Ancona	43.6162986755	13.3622999191	89994	0
AOJ	medium_airport	Aomori Airport	JP	Aomori	40.7346992493	140.6909942627	298394	0
AOL	medium_airport	Paso De Los Libres Airport	AR	Paso de los Libres	-29.6894	-57.1521	43805	0
AOO	medium_airport	Altoona Blair County Airport	US	Altoona	40.29639816	-78.31999969	46320	0
AOT	medium_airport	Aosta Airport	IT	Aosta	45.7384986877	7.3687200546	32295	0
APA	medium_airport	Centennial Airport	US	Denver	39.57009888	-104.848999	600158	0
APF	medium_airport	Naples Municipal Airport	US	Naples	26.1525993347	-81.7752990723	19537	0
APL	medium_airport	Nampula Airport	MZ	Nampula	-15.1056003571	39.2817993164	388526	0
APN	medium_airport	Alpena County Regional Airport	US	Alpena	45.0780983	-83.56030273	10483	0
APNIC	 	Brisbane	AU	Brisbane	-27.4702796	153.023036	2189878	0
APS	medium_airport	Base Aérea Airport	BR	Anápolis	-16.2292003632	-48.9642982483	319587	0
APW	medium_airport	Faleolo International Airport	WS	Apia	-13.8299999237	-172.0079956055	40407	0
APZ	medium_airport	Zapala Airport	AR	Zapala	-38.9754981995	-70.1136016846	31534	0
AQA	medium_airport	Araraquara Airport	BR	Araraquara	-21.8120002747	-48.1329994202	168468	0
AQG	medium_airport	Anqing Airport	CN	Anqing	30.5821990967	117.0500030518	358661	0
AQI	medium_airport	Hafr Al Batin Airport	SA	Qaisumah	28.3351993561	46.1250991821	20685	0
AQJ	medium_airport	Aqaba King Hussein International Airport	JO	Aqaba	29.6116008759	35.0181007385	95048	0
AQP	medium_airport	Rodríguez Ballón International Airport	PE	Arequipa	-16.3411006927	-71.5830993652	841130	0
ARA	medium_airport	Acadiana Regional Airport	US	New Iberia	30.0377998352	-91.8839035034	30617	0
ARE	medium_airport	Antonio Nery Juarbe Pol Airport	PR	Arecibo	18.4500007629	-66.6753005981	49318	0
ARH	medium_airport	Talagi Airport	RU	Archangelsk	64.6003036499	40.7167015076	356051	0
ARI	medium_airport	Chacalluta Airport	CL	Arica	-18.3484992981	-70.3386993408	185999	0
ARM	medium_airport	Armidale Airport	AU	Armidale	-30.5280990601	151.617004395	22673	0
ARN	large_airport	Stockholm-Arlanda Airport	SE	Stockholm	59.6519012451	17.9186000824	1253309	0
ART	medium_airport	Watertown International Airport	US	Watertown	43.9919013977	-76.021697998	27023	0
ARU	medium_airport	Araçatuba Airport	BR	Araçatuba	-21.1413002014	-50.4247016907	170024	0
ARW	medium_airport	Arad International Airport	RO	Arad	46.1766014099	21.2619991302	169065	0
ASB	medium_airport	Ashgabat Airport	TM	Ashgabat	37.9868011475	58.361000061	727700	0
ASE	medium_airport	Aspen-Pitkin Co/Sardy Field	US	Aspen	39.22320175	-106.8690033	6658	0
ASF	medium_airport	Astrakhan Airport	RU	Astrakhan	46.2832984924	48.0063018799	502533	0
ASH	large_airport	Ronald Reagan Washington National Airport	US	Washington	38.8521003723	-77.0376968384	18761	2
ASK	medium_airport	Yamoussoukro Airport	CI	Yamoussoukro	6.9031701088	-5.3655800819	194530	0
ASM	medium_airport	Asmara International Airport	ER	Asmara	15.2918996811	38.9107017517	563930	0
ASO	medium_airport	Asosa Airport	ET	Asosa	10.0185003281	34.5862998962	30512	0
ASP	medium_airport	Alice Springs Airport	AU	Alice Springs	-23.8066997528	133.9019927979	25186	0
ASR	medium_airport	Kayseri Erkilet Airport	TR	Kayseri	38.770401001	35.4953994751	592840	0
AST	medium_airport	Astoria Regional Airport	US	Astoria	46.158000946	-123.878997803	9477	0
ASU	medium_airport	Silvio Pettirossi International Airport	PY	Asunción	-25.2399997711	-57.5200004578	1482200	0
ASW	medium_airport	Aswan International Airport	EG	Aswan	23.9643993378	32.8199996948	241261	0
ATA	medium_airport	Comandante FAP German Arias Graziani Airport	PE	Anta	-9.3474397659	-77.5983963013	5859	0
ATC	medium_airport	Arthur's Town Airport	BS	Arthur's Town	24.6294002533	-75.6737976074	1175	0
ATF	medium_airport	Chachoán Airport	EC	Ambato	-1.2120699883	-78.5746002197	154369	0
ATH	large_airport	Eleftherios Venizelos International Airport	GR	Athens	37.9364013672	23.9444999695	729137	0
ATL	large_airport	Hartsfield Jackson Atlanta International Airport	US	Atlanta	33.6366996765	-84.4281005859	420003	0
ATM	medium_airport	Altamira Airport	BR	Altamira	-3.2539100647	-52.2540016174	70888	0
ATQ	large_airport	Sri Guru Ram Dass Jee International Airport Amritsar	IN	Amritsar	31.7096004486	74.7973022461	1092450	0
ATR	medium_airport	Atar International Airport	MR	Atar	20.5067996979	-13.0431995392	24021	0
ATY	medium_airport	Watertown Regional Airport	US	Watertown	44.91400146	-97.15470123	21482	0
ATZ	medium_airport	Assiut International Airport	EG	Assiut	27.0464992523	31.0119991302	420585	0
AUA	medium_airport	Queen Beatrix International Airport	AW	Oranjestad	12.5013999939	-70.0151977539	29998	0
AUC	medium_airport	Santiago Perez Airport	CO	Arauca	7.06888	-70.7369	69264	0
AUF	medium_airport	Auxerre-Branches Airport	FR	Auxerre/Branches	47.8502006531	3.49710989	41516	3
AUG	medium_airport	Augusta State Airport	US	Augusta	44.3205986023	-69.7973022461	19136	0
AUH	large_airport	Abu Dhabi International Airport	AE	Abu Dhabi	24.4330005646	54.6511001587	603492	0
AUR	medium_airport	Aurillac Airport	FR	Aurillac	44.8913993835	2.4219400883	34724	0
AUS	large_airport	Austin Bergstrom International Airport	US	Austin	30.1944999695	-97.6698989868	790390	0
AUW	medium_airport	Wausau Downtown Airport	US	Wausau	44.9262008667	-89.6266021729	39106	0
AVA	medium_airport	Anshun Huangguoshu Airport	CN	Anshun	26.2605555556	105.873333333	351936	0
AVB	medium_airport	Aviano Air Base	IT	Aviano	46.0318984985	12.5965003967	8225	0
AVI	medium_airport	Maximo Gomez Airport	CU	Ciego de Avila	22.0270996094	-78.7895965576	142027	0
AVL	large_airport	Asheville Regional Airport	US	Asheville	35.4361991882	-82.5418014526	83393	0
AVN	medium_airport	Avignon-Caumont Airport	FR	Avignon/Caumont	43.9072990417	4.9018301964	1043	3
AWZ	medium_airport	Ahwaz Airport	IR	Ahwaz	31.3374004364	48.7620010376	841145	0
AXA	medium_airport	Wallblake Airport	AI	The Valley	18.2047996521	-63.0550994873	2035	0
AXD	medium_airport	Dimokritos Airport	GR	Alexandroupolis	40.8558998108	25.9563007355	52979	0
AXM	medium_airport	El Eden Airport	CO	Armenia	4.45278	-75.7664	315328	2
AXN	medium_airport	Chandler Field	US	Alexandria	45.8662986755	-95.3946990967	11070	0
AXT	medium_airport	Akita Airport	JP	Akita	39.6156005859	140.2189941406	320069	0
AYO	medium_airport	Juan De Ayolas Airport	PY	Ayolas	-27.3700008392	-56.8499984741	12061	0
AYP	medium_airport	Coronel FAP Alfredo Mendivil Duarte Airport	PE	Ayacucho	-13.154800415	-74.2043991089	140033	0
AYT	large_airport	Antalya International Airport	TR	Antalya	36.8987007141	30.8005008698	758188	0
AZD	medium_airport	Shahid Sadooghi Airport	IR	Yazd	31.9048995972	54.2765007019	477905	0
AZO	medium_airport	Kalamazoo Battle Creek International Airport	US	Kalamazoo	42.2349014282	-85.5521011353	74262	0
AZS	medium_airport	Samaná El Catey International Airport	DO	Samana	19.2670001984	-69.7419967651	11432	0
BAB	large_airport	Beale Air Force Base	US	Marysville	39.136100769	-121.43699646	12072	0
BAD	large_airport	Barksdale Air Force Base	US	Bossier City	32.5018005371	-93.6626968384	61315	0
BAF	medium_airport	Barnes Municipal Airport	US	Westfield/Springfield	42.1577987671	-72.7155990601	153060	3
BAG	medium_airport	Loakan Airport	PH	Baguio City	16.3750991821	120.6200027466	272714	0
BAH	large_airport	Bahrain International Airport	BH	Manama	26.2707996368	50.6335983276	147074	0
BAL	medium_airport	Batman Airport	TR	Batman	37.9290008545	41.1166000366	381990	0
BAQ	medium_airport	Ernesto Cortissoz International Airport	CO	Barranquilla	10.8896	-74.7808	1380425	0
BAT	medium_airport	Chafei Amsei Airport	BR	Barretos	-20.5844993591	-48.5941009521	101220	0
BAU	medium_airport	Bauru Airport	BR	Bauru	-22.3449993134	-49.0537986755	335024	0
BAV	medium_airport	Baotou Airport	CN	Baotou	40.5600013733	109.9970016479	1301768	0
BAX	medium_airport	Barnaul Airport	RU	Barnaul	53.3638000488	83.5384979248	599579	0
BAY	medium_airport	Tautii Magheraus Airport	RO	Baia Mare	47.6584014893	23.4699993134	137976	2
BBD	medium_airport	Curtis Field	US	Brady	31.1793003082	-99.3238983154	5528	0
BBI	medium_airport	Biju Patnaik Airport	IN	Bhubaneswar	20.2444000244	85.8178024292	762243	0
BBK	medium_airport	Kasane Airport	BW	Kasane	-17.8328990936	25.162399292	9250	0
BBM	medium_airport	Battambang Airport	KH	Battambang	13.0956001282	103.2239990234	150444	0
BBO	medium_airport	Berbera Airport	SO	Berbera	10.3892002106	44.9411010742	242344	0
BBT	medium_airport	Berbérati Airport	CF	Berbérati	4.2215800285	15.7863998413	61815	0
BBU	medium_airport	Băneasa International Airport	RO	Bucharest	44.503200531	26.1021003723	1877155	0
BCA	medium_airport	Gustavo Rizo Airport	CU	Baracoa	20.3652992249	-74.5062026978	48362	0
BCD	medium_airport	Bacolod-Silay City International Airport	PH	Bacolod City	10.7763996124	123.0149993896	454898	0
BCH	medium_airport	Cakung Airport	TL	Baucau	-8.4890298843	126.401000977	16000	0
BCM	medium_airport	Bacău Airport	RO	Bacău	46.521900177	26.9102993011	171396	0
BCN	large_airport	Barcelona International Airport	ES	Barcelona	41.2971000671	2.0784599781	1621537	0
BDA	medium_airport	L.F. Wade International International Airport	BM	Hamilton	32.3639984131	-64.6787033081	902	0
BDB	medium_airport	Bundaberg Airport	AU	Bundaberg	-24.9039001465	152.319000244	70826	0
BDE	medium_airport	Baudette International Airport	US	Baudette	48.7284011841	-94.612197876	1106	0
BDL	large_airport	Bradley International Airport	US	Hartford	41.9388999939	-72.6831970215	124775	0
BDO	medium_airport	Husein Sastranegara International Airport	ID	Bandung-Java Island	-6.9006299973	107.5759963989	1699719	3
BDQ	medium_airport	Vadodara Airport	IN	Vadodara	22.3362007141	73.2263031006	1409476	0
BDR	medium_airport	Igor I Sikorsky Memorial Airport	US	Bridgeport	41.1635017395	-73.1261978149	144229	0
BDS	medium_airport	Brindisi / Casale Airport	IT	Brindisi	40.6576004028	17.9470005035	78548	0
BDU	medium_airport	Bardufoss Airport	NO	Målselv	69.0558013916	18.5403995514	840	0
BED	medium_airport	Laurence G Hanscom Field	US	Bedford	42.47000122	-71.28900146	12502	0
BEG	large_airport	Belgrade Nikola Tesla Airport	RS	Belgrade	44.8184013367	20.3090991974	1273651	0
BEI	large_airport	Beijing Nanyuan Airport	CN	Beijing	39.7827987671	116.3880004883	7480601	0
BEL	large_airport	Val de Cans/Júlio Cezar Ribeiro International Airport	BR	Belém	-1.3792500496	-48.4762992859	1407737	2
BEN	medium_airport	Benina International Airport	LY	Benghazi	32.0968017578	20.2695007324	650629	0
BEP	medium_airport	Bellary Airport	IN	Bellary	15.1627998352	76.8827972412	336681	0
BEQ	medium_airport	RAF Honington	GB	Thetford	52.3426017761	0.7729390264	21588	0
BES	medium_airport	Brest Bretagne Airport	FR	Brest/Guipavas	48.4478988647	-4.4185400009	13755	3
BET	medium_airport	Bethel Airport	US	Bethel	60.77980042	-161.8379974	6080	0
BEW	medium_airport	Beira Airport	MZ	Beira	-19.7964000702	34.9076004028	530604	0
BEX	medium_airport	RAF Benson	GB	Benson	51.6164016724	-1.0958299637	5691	0
BEY	large_airport	Beirut Rafic Hariri International Airport	LB	Beirut	33.8208999634	35.4883995056	1916100	0
BFD	medium_airport	Bradford Regional Airport	US	Bradford	41.8031005859	-78.6400985718	8770	0
BFF	medium_airport	Western Neb. Rgnl/William B. Heilig Airport	US	Scottsbluff	41.87400055	-103.5960007	15039	0
BFH	medium_airport	Bacacheri Airport	BR	Curitiba	-25.4050998688	-49.2319984436	1718421	0
BFI	large_airport	Boeing Field King County International Airport	US	Seattle	47.5299987793	-122.3020019531	608660	0
BFK	medium_airport	Buckley Air Force Base	US	Aurora	39.7016983032	-104.751998901	325078	0
BFL	medium_airport	Meadows Field	US	Bakersfield	35.43360138	-119.0569992	347483	0
BFM	medium_airport	Mobile Downtown Airport	US	Mobile	30.6268005371	-88.0680999756	195111	0
BFO	medium_airport	Buffalo Range Airport	ZW	Chiredzi	-21.0081005096	31.5785999298	28205	0
BFP	medium_airport	Beaver County Airport	US	Beaver Falls	40.7724990845	-80.3914031982	8987	0
BFS	large_airport	Belfast International Airport	GB	Belfast	54.6575012207	-6.2158298492	274770	0
BFU	medium_airport	Bengbu Airport	CN	Bengbu	32.8477333333	117.320244444	576648	0
BFX	medium_airport	Bafoussam Airport	CM	Bafoussam	5.5369200707	10.3545999527	290768	0
BGA	medium_airport	Palonegro Airport	CO	Bucaramanga	7.1265	-73.1848	571820	0
BGF	medium_airport	Bangui M'Poko International Airport	CF	Bangui	4.3984799385	18.5188007355	542393	0
BGI	medium_airport	Sir Grantley Adams International Airport	BB	Bridgetown	13.0746002197	-59.4925003052	98511	0
BGM	medium_airport	Greater Binghamton/Edwin A Link field	US	Binghamton	42.20869827	-75.97979736	47376	0
BGO	large_airport	Bergen Airport Flesland	NO	Bergen	60.2933998108	5.2181401253	213585	0
BGR	large_airport	Bangor International Airport	US	Bangor	44.8073997498	-68.8281021118	33039	0
BGW	large_airport	Baghdad International Airport	IQ	Baghdad	33.2625007629	44.2346000671	5672513	0
BGX	medium_airport	Comandante Gustavo Kraemer Airport	BR	Bagé	-31.390499115	-54.1122016907	98940	0
BGY	large_airport	Bergamo / Orio Al Serio Airport	IT	Bergamo	45.6739006042	9.7041702271	114162	0
BGZ	medium_airport	Braga Municipal Aerodrome	PT	Braga	41.5871009827	-8.445139885	121394	0
BHB	medium_airport	Hancock County-Bar Harbor Airport	US	Bar Harbor	44.45000076	-68.3615036	2552	0
BHD	large_airport	George Best Belfast City Airport	GB	Belfast	54.6180992126	-5.8724999428	274770	0
BHE	medium_airport	Woodbourne Airport	NZ	Blenheim	-41.5182991028	173.8699951172	26550	0
BHI	medium_airport	Comandante Espora Airport	AR	Bahia Blanca	-38.725	-62.1693	276546	0
BHJ	medium_airport	Bhuj Airport	IN	Bhuj	23.2877998352	69.6701965332	133459	0
BHK	medium_airport	Bukhara Airport	UZ	Bukhara	39.7750015259	64.4832992554	247644	0
BHM	large_airport	Birmingham-Shuttlesworth International Airport	US	Birmingham	33.56290054	-86.75350189	212237	0
BHO	medium_airport	Raja Bhoj International Airport	IN	Bhopal	23.2875003815	77.3374023438	1599914	0
BHQ	medium_airport	Broken Hill Airport	AU	Broken Hill	-32.0013999939	141.472000122	18430	0
BHS	medium_airport	Bathurst Airport	AU	Bathurst	-33.4094009399	149.651992798	33110	0
BHU	medium_airport	Bhavnagar Airport	IN	Bhavnagar	21.752199173	72.1852035522	554978	0
BHV	medium_airport	Bahawalpur Airport	PK	Bahawalpur	29.3481006622	71.7180023193	552607	0
BHX	large_airport	Birmingham International Airport	GB	Birmingham	52.4538993835	-1.7480299473	984333	0
BIA	medium_airport	Bastia-Poretta Airport	FR	Bastia/Poretta	42.5527000427	9.4837303162	41001	3
BIF	medium_airport	Biggs Army Air Field (Fort Bliss)	US	Fort Bliss/El Paso	31.84950066	-106.3799973	649121	3
BIH	medium_airport	Eastern Sierra Regional Airport	US	Bishop	37.3731002808	-118.363998413	3879	0
BIK	medium_airport	Frans Kaisiepo Airport	ID	Biak-Supiori Island	-1.1900199652	136.108001709	4537	3
BIL	large_airport	Billings Logan International Airport	US	Billings	45.8077011108	-108.5429992676	104170	0
BIO	medium_airport	Bilbao Airport	ES	Bilbao	43.3011016846	-2.9106099606	354860	0
BIQ	medium_airport	Biarritz-Anglet-Bayonne Airport	FR	Biarritz/Anglet/Bayonne	43.4683990479	-1.5233199596	44396	3
BIR	medium_airport	Biratnagar Airport	NP	Biratnagar	26.4815006256	87.263999939	182324	0
BIS	medium_airport	Bismarck Municipal Airport	US	Bismarck	46.7727012634	-100.7460021973	61272	0
BIY	medium_airport	Bisho Airport	ZA	Bisho	-32.8970985413	27.2791004181	137287	0
